Word,Meaning,synonym,Antonym,Usage
Torrid,characterized by intense emotion; extremely and unpleasantly hot,"fervid, fiery, ardent, fervent, impassioned, burning, sultry","frigid, passionless, arctic, cold, freezing","Gone With The Wind is a novel describing the torrid passions of a fighter during the Civil War in America.
Historical fiction writers would have us believe that a fierce warrior will also be torrid in his passion."
Wheedle,to persuade someone to give you something or do something by saying nice things that you do not mean,"cajole, coax, inveigle, honey, palaver, blandish","criticize, insult","He tried to wheedle out confidential information from the CEO’s secretary by complimenting her and taking her out.
The kids can always wheedle money out of their father.
The fellow was so shameless that even after being insulted, he would wheedle his superior into granting him a favour."
Assail,attack someone physically or through speech or writing,"attack, lash, lambaste","praise, defend, justify, laud, compliment",People in nationally important positions can expect to be assailed any time either by the media or the public.
Contumacious,"wilfully obstinate, stubbornly disobedient","disobedient, obstinate, stubborn, inflexible","subordinate, obedient, tractable",The contumacious girl defied her father’s instructions and deliberately attended the party against his order.
Cloying,"So sweet that it is unpleasant
Using emotion in a very obvious way, so that the result is unpleasant","sweet, saccharine, treacly, syrupy",sour,"Initially appreciative of her sweet attention, the guest soon began to find her carrying it too far with her cloying."
Dogma,"a belief or set of beliefs held by a group or organization, that others are expected to accept without argument","canon, doctrine","doubt, unbelief, indecision","He believes that when living in a certain society you should become a real part of it by sticking to its rules, dogmas and principles."
Brook,Put up with something or somebody,"tolerate, endure, suffer","reject, dismiss, prohibit","Not being prepared to brook the tax that was imposed by the British on salt, the bold freedom fighters staunchly defied the law."
Wince,Grimace or make a face in pain,"flinch, squinch, recoil, shrink","stoic, flout",He winced in pain when the child hit him on his broken hand by mistake.
Wane,Decreasing phase in a periodic variation,"decline, ebb, go-down",wax,"Though she began her piano lessons in all earnest, her interest began to wane when she realized the hard work involved."
Volition,Conscious choice or decision,will,"compulsion, duress, force",He decided to become a hermit and sacrifice all worldly pleasures of his own volition.
Wrest,"Snatch, seize, pull away, tear away, twist out of one’s hold.","snatch, seize","overlook, restore, miss",The robber wrested her gold chain from her neck as she was going on a walk.
Wistful,Full of longing or unfulfilled desire,"longing, melancholy, pensive","cheerful, nonchalant","Casting a wistful glance at the dancers, she wheeled her chair away, realizing it would be months before she could dance again."
Aciduous,Faintly sour or acid-like,"Mocking, acidic, acerbic, sarcastic",saccharine,She never had any complimentary comment to make; they were always acidulous and sarcastic.
Clamor,"to demand something loudly
to shout loudly, especially in a confused way","noise, uproar, howl, tumult, vociferate, outcry","silence, quiet","While the loyal fans of the suspense thriller were clamoring for the next season, the network decided to cancel the show.
Thanks to social media platforms like Instagram and Twitter, the internet is swarming with influencers clamoring for our attention."
Acumen,the ability to understand and decide things quickly and well,"keenness, sharpness, wit, intelligence",obtuseness,Daniel approached the issues with great acumen.
Ascribe,"to consider that someone or something has, or should have ( a particular quality or feature)","accredit, attribute","exonerate, exculpate","The success of the team is ascribed to its trainer, without whom the players would have not won.
The grades of a student are ascribed great importance during placements.
The cause of the tsunami has been ascribed to the quake in India.
These paintings are ascribed to Da Vinci."
Boor,a rude unpleasant person,"churl, lout",gentlemen,"Not wanting to sound like a boor in trying to emphasize his point, the Chairman adjourned the meeting."
Apotheosis,"the highest or most perfect development or example of something
the best time in someone’s life or career
a formal statement that a person has become a god","elevation, archetype, epitome, exemplar, idolization",,"The apotheosis of Roman Emperor.
The Apotheosis of Jesus in modern religions teachings is open to much debate."
Diaphanous,so light and fine that you can almost see through it,"thin, transparent, delicate, translucent, sheer, light, fine","thick, opaque","The ballerina wore a long, diaphanous skirt."
Demagogue,a political leader who tries to win support by using arguments based on emotion rather than reason,"firebrand, Incendiary",rationalist,Everyone knows that politician is a demagogue; he just preys on people’s prejudices and emotions and makes tall promises every election.
August,"impressive, respected and honored","imposing, distinguished, staid, dignified, solemn","frivolous, undignified, goofy","The audience were dumbstruck with the august presence of all their favorite singers on stage to commemorate the 50th death anniversary of the legendary music director.
The august presence of presidents and prime ministers of leading nations created the right optimism that was required for the success of the summit which was to focus on the delicate topic of inter-nation trade barriers.
On the occasion of his retirement, the cricketer expressed his gratitude to the august gathering of senior players who had showed at the stadium in massive numbers."
Bucolic,relating to the pleasant aspects of the countryside and country life,"pastoral, agrarian","metro, citified, urbanized","Rose felt that the scenic farmhouse would be very good for a bucolic weekend retreat, and so decided to buy it."
Maverick,"a person who does not conform to generally accepted standards or customs
an individual who thinks independently and takes an independent stand","rebel, non conformist",conformist,"Sam is not fit for the high office, since he is too much of a maverick. It is important for the person holding such a position to be inclusive."
Insipid,"devoid of taste, interest and qualities that make for spirit and character","flat, vapid, banal","tasty, interesting",The romantic movies that are shown nowadays are very insipid and boring.
Eulogy,"a speech or piece of writing praising somebody/something very much
a speech given at a funeral praising the person who has died","acclaim, salutation, tribute, compliment","defamation
condemnation",A man of truly sterling character is bound to invite a good deal of eulogy whether he cares for it or not.
Aberration,"Deviation from accepted standards. The deviation could be in behavior ( of living beings), behaviors in the physical words, physical characteristics of something living or non-living","abnormality, diversion, deviation, irregularity, pecualirity","conformity, sameness, regularity","The doctoral committee felt that there were many aberrations in the observations presented by the PhD student which required further investigation.
After auditing the accounts of the company, the auditor felt that the accounts were maintained by and large as per existing rules, barring minor aberration."
Mitigate,To make milder or more endurable,"ease, moderate, diminish, tranquilize, cool","intensify, increase",The students could not mitigate the teacher’s anger no matter how hard they tried.
Morose,"unhappy, bad-tempered, and not taking very much","pessimistic, depressed, ill-humored, gloomy, irritable","pleasant, happy, cheerful, good-humoured","Silas Marner was a morose man, irritable and critical of everyone, until Emily came into his life."
Fawn,to try to please someone by praising them or paying them too much attention,"sycophant, Bootlick, gush, flatter","insult, ignore",Cassius was irritated by the way Mark Anthony fawned on Julius Caesar like a slave.
Recluse,a person who lives alone and likes to avoid other people,"anchorite, hermit, introvert","extrovert, gregarious","After the sudden death of his father, Hamlet turned recluse, avoiding human company."
Mar,to damage or spoil something good,"impair, tarnish, blemish, damage","enhance, aid, heal",His face was marred by an old knife wound.
Multifarious,of many different kinds; having great variety,"manifold, diverse, myriad",homogenous,Leonardo da Vinci’s notebook reveals that he was a man of multifarious interests.
Plummet,Something that weighs down or dips deeply,"decrease, decline, descend","ascend, rise, increase, soar","While an eagle can soar in the sky, it can also plummet straight to the ground like an arrow."
 Neophyte,"A person who has just started learning or doing something
A person who has recently joined a religious group","tyro, proselyte, novice, convert","veteran, expert","Because Jack had no experience with the financial markets, everyone in the trading team considered him to be a neophyte."
Reprobate,"person hardened in sin, one devoid of decency","pervert, sinner",saint,God extends his helping hand to even the most despicable reprobate should the latter repent his sins and pray for mercy.
Quibble,to argue or complain about a small or an unimportant detail,"pettifog, cavil",concur,The kids enjoyed the trick-or-treat far too much to quibble about who owned the teddy bear.
Misanthrope,a person who hates or distrusts mankind,"cynic, hater, recluse, unsociable, loner","optimist, believer","A confirmed misanthrope, the misguided scientist worked on a weapon to destroy the human race."
Impassive,not showing any feeling or emotion,"unemotional, dispassionate, inscrutable, emotionless","passionate, concerned, expressive",A soldier might turn impassive at the sight of death after he has been in several battles.
Stolid,"Impassive, unconcerned","stoic, indifferent, unemotional, blunt, dull, impassive","emotional, interested, expressive, demonstrative","Though the court jesters and other performers tried to make the princess smile, her face only showed nothing but stolid indifference.
The freedom fighter remained stolid showing no emotion when the death sentence was passed."
Engender,to make a feeling or situation exist,"generate, prompt, produce, effectuate","cease, stop, end",True concern for others will engender co-operation from them even when they are away.
Precursor,a person or thing that comes before someone or something similar and that leads to or influence its development,"forefather, indicator, ancestor, forerunner, messenger","descendant, offspring","The stories of Zorro were a precursor to the comics of Batman.
Like a precursor of the terrible things to come, the old clock came down with a crash following the thunder."
Esoteric,hard to understand,"hidden, mysterious, secret","public, obvious, well known, familiar","Many ceremonial customs of today are continuations of past esoteric practices, retained in fear, but hard to understand."
Intransigent,unwilling to change their opinions or behavior in a way that would be helpful to others,"unbending, adamant, determined, inflexible, tenacious, uncompromising, unyielding","compliant, flexible",Little will get accomplished if the legislators of both parties maintain their intransigent attitudes.
Stigma,mark of shame or disgrace,"smudge, dishonor, blemish, imputation, disgrace, blame","credit, honor","If a person undergoing a wrong sentence, serves even a day in prison, some social stigma attaches to him, even if he is later found innocent."
Libertine,"a person, usually a man, who leads an immoral life and interested in pleasures, especially sexual pleasures","degenerate, pervert, deviate, profligate, rake, debauchee, decadent","puritan, saint",The libertine was avoided by most decent people in the town.
Panegyric,Formal expression of praise,"encomium, honor, praise","insult, criticism, demerit",The brilliant scholar had been publicly felicitated and eulogized so often that any more panegyrics appeared banal.
Exculpate,clear from guilt or blame,"remit, acquit, excuse, discharge, explain, clear","convict, blame, sentence,, condemn","The irrefutable alibi presented by an honored and respected member of the Board exculpated the officer suspected of misdemeanor.
An alibi given by a respected senior helped to exculpate the officer who was suspected for a theft."
Specious,"apparently correct or actually wrong or false
misleading in appearance (especially by being attractive)","inaccurate, deceptive, misleading, far-fetched, erroneous","convincing, valid","The argument, if not totally illogical, was at best specious, with its far-fetched reasoning.
Kate has offered so many explanations for arriving late at the office in the last six months that now, any reason seems specious.
Under a specious, smiling countenance Gordon concealed a bitter and cruel heart."
Recalcitrant,Resisting authority or discipline; being disobedient,"disobedient, stubborn, obstinate, rebellious, defiant","amenable, harmonious, docile, compliant","This patient is recalcitrant to any observation whatsoever.
The recalcitrant behaviour of some children is often a mask that hides their insecurity behind a show of defiant indiscipline."
Obstinate,"refusing to change your opinions, way of behaving, etc. when other people try to persuade you to; showing this
difficult to get rid of or deal with","intransigent, pertinacious, mulish, inflexible, stubborn, obdurate, implacable","amenable, acquiescent, compliant, flexible, pliable, relenting, yielding","He proved too obstinate for me to handle and never complied with my orders.
The obstinate donkey sat there and didn’t move an inch despite the lashings it got."
Proliferate,"Grow by rapid production of new parts, usually undesirable","generate, expand, reproduce, increase","decrease, dwindle","When teaching centers for entrance examinations proliferate, one should guard against a fall in standards."
Rescind,Nullify or declare invalid an existing law,"remove, abolish, cancel, reverse, repeal, dismantle","promote, establish, enact, enforce","Since the proposal for the building, once approved, was rescinded by court order, the construction was halted."
Ethos,"The characteristic spirit of a culture, era, or community as manifested in its attitudes and aspirations","mentality, mindset, norms, ideology","physicality, tactility",The company made environment awareness part of its business ethos.
Idolatry,worship of idols,"adoration, devotion, cultism",iconoclasm,"Worship an “enlightened” man who condemns idolatry; by treating his as your idol, you commit the very error he condemns."
Palllid,"pale, especially because of illness
not strong or bright, and therefore not attractive","blanched, ashen, cadaverous, insipid, dull, pale,","sanguine, blooming, florid","A pallid man who looked as though he’d never seen the sun.
The pallid face of the child had his mother worried."
Presumptuous,"failing to observe the limits of what is permitted
too confident","insolent, over-confident, audacious, presuming, egotist","timid, modest, respectful, humble, unassuming","""Not to sound too presumptuous, may I ask you for your qualification?” the student asked the professor.
It is rather presumptuous of Edmond to offer his opinion on something that is very personal to me, since he doesn’t really know me well."
Supercede,Bypass a contender to take someone’s place; supplant,"override, bypass, replace",uphold,"Wishing to avoid possible relocation, the clerk agreed to be superseded by a junior for an officer’s position."
Sublime,"of very high quality and causing great admiration
complete or unparalleled","lofty, glorious, prodigious, magnificent, noble","ridiculous, ordinary, ignoble, degenerate",The visitors were awestruck by the sublime beauty of the Grand Canyon.
Proscribe,state officially that a publication is dangerous or forbidden; place an embargo upon,"ban, outlaw","permit, allow, approve, legalise",Compare the rank pornography in today’s fiction with D.H. Lawrence’s “Lady Chaterley’s Lover”. once proscribed from public book marts.
pusillanimous,frightened to take risks,"timid, cowerdy",brave,The authorities are too pusillanimous to deal with this situation.
Obdurate,Stubborn with the intention of stalling process,"intractable, unrepentant, inflexible, obstinate, adamant, immovable","amenable, flexible, compliant","The obdurate stand of the worker’s union prevented an early solution to its stand-off with the management.
He was being obdurate in his refusal to give his sanction for the implementation of the new plan, as his objections were trivial."
Propitiate,to appease or make someone less angry (by saying something or by giving them a gift),"pacify, placate, mollify, appease, alleviate","irritate, provoke, aggravate, antagonise","The villagers conducted an elaborate ritual involving dance, music, and animal sacrifice to propitiate the rain gods."
Surrogate,"to put into the place of another as a successor, substitute","proxy, substitute, represent","permanent, real","The chief gave them both a cautious look but after explaining in detail what needed to be done, she agreed to let the surrogate cooking team give it a try."
Husband,Use sparingly or economically,"conserve, economise",waste,Farmers know very well how to husband their grain stock so as to be protected against drought and famine.
Ephemeral,"living, lasting, etc., for a very short time","impermanent, evanescent, transitory, volatile, brief","permanent, stable, enduring, external, everlasting","Ill-gotten gains may seem sweet, but such joy is ephemeral, disappearing very quickly."
Loquacious,Fond of talking; given to talkativeness,"babbling, gossipy, chatty, garrulous, fluent","laconic, taciturn, reticent, silent","My loquacious companion in the train pestered me throughout the journey, talking ceaselessly."
Blandishment,pleasant things that you say to somebody or do for them to try to persuade them to do something,"adulation, coaxing, flattery, allurement",criticism,"Using the kind of blandishment that would entice the crowd, the peddler was trying to sell his ware."
Occlude,Make the view clouded,"close, obstruct, prevent, throttle, hinder","clear, unblock, open, free",Petty fears of damage to one’s public image occlude even a saint’s finer qualities.
Peccadillo,"Petty misdeed
a petty mistake or fault which is not of serious nature","misdeed, sin, indiscretion, error, fault","virtue, perfection, good",The tinsel world often portrays the peccadilloes of childhood maturing to villainy.
Refractory,"stubborn, obstinate, unmanageable","troublesome, unbending, impolite, adamant, irritable, unmanageable, disobedient, tough","manageable, easygoing, polite, obedient, compliant","The baby elephant was quite refractory, posing a challenge to the circus trainer.
With his stubborn and difficult ways the refractory child scared away every nanny."
Onerous,Hanging heavily on one’s mind,"laborious, serious, cumbersome, tiring, weighty, demanding, taxing, burdensome","simple, easy, painless, effortless","The will overburdened the heiress with the onerous responsibility of personally overseeing her estate.
The pretty receptionist was pleased that her duties were not onerous: all she had to do was greet the visitors and answer the phone."
Surly,"Ill-humored, arrogant, domineering","cross, rude","gentle, pleasant","One hesitated before going to their house, as they had to endure the surly behavior of their host’s father who found fault with everything."
Pejorative,"A word or remark that has negative connotation and expresses either criticism, disapproval for intends to belittle someone.","irreverent, debasing, belittling, disparaging",complimentary,"Any business school worth its salt always claims that the program it offers is practical and tailor made for current business practices. So when a leading CEO said that the curriculum of most leading business schools is cut-off from reality, it is natural that many faculty members felt that the statement was pejorative and belittled the value that was delivered by the business schools to corporates for decades."
leery,"suspicious or careful about something or someone, and trying to avoid doing it or dealing with them","dubious, cautious, doubting, distrustful, wary, suspicious, skeptical,","sure,, unwary, certain, trustful","She hesitated stepping into the friendly crowd, because she was leery of strangers."
Scurvy,of the most contemptible kind,"miserable, despicable, low-down, abject","exemplary, laudable",some villainous characters of Shakespeare are so scurvy they make you shrink with horror at the contemptible conduct.
Requite,make repayment for or return something; to make return to (a person for a kindness or injury),repay,"forgive, excuse, pardon, remit, absolve, condone",Very often we desist from performing evil actions only for fear that we may have to requite for them.
Mercurial,liable to sudden unpredictable change,"fickle, erratic","steady, constant",The teacher had her hands full keeping her mercurial student’s mind tied to one subject before darting to another.
Inveigle,"to achieve control over somebody in a clever and dishonest way, especially so that they will do what you want","beguile, tempt, coax, influence, allure","disgust, disenchant, turn off",Her son tried to inveigle her into giving him the money to buy a car.
Inter,place in grave or tomb,"inhume, entomb, bury",Exhume,"Shakespeare’s words, “the good is often interred with the bones” mean a dead person’s virtues also get burried."
Sedulous,marked by care and persistent effort,"attentive, assiduous, active","negligent, casual, lax, lazy",A member of parliament must be sedulous in implementing the measures promised to his constituency.
Insular,"Remote, detached, or aloof
of or pertaining to island or islands",narrow-minded,"cosmopolitan, receptive, liberal",Today the island is home to a large colony of little terns and is the only insular colony in Ireland.
Impasse,a situation in which no progress can be made or advancement is possible; a road or passage having no exit,"halt, gridlock, standoff, deadlock","agreement, breakthrough","Continuing their fight into the narrow cave, the two got into an impasse, both wishing to come out but neither able to."
Precarious,Fraught with an element of danger or risk,"risky, dangerous, shaky, unsafe, unsteady","secure, unhazardous, safe",The school van hung precariously from the edge of the cliff and the rescue team hastened to reach there before it happened.
Lachrymose,Weeping or inclined to weep; showing sorrow,"weeping, tearful",cheerful,"Most melodramatic presentations of ethos are coarsely lachrymose, almost wrenching the tears out of the viewer’s eyes."
Lumber,Walk awkwardly because of excessive weight & size,"shamble, slog, clump, galumph, waddle, barge","relieve, unburden","Added to his heavy weight and short stature, the man had eaten heavily and lumbered into his bedroom and slumped."
Travesty,"mockery or ridicule of a literary work or process
something that lacks the qualities that is supposed to have and so is offensive","parody, ridicule, mockery","seriousness, solemnity",The marriage of Ivan and Mary is nothing but a travesty. They do not agree on anything and are always in discord.
Interregnum,"A period of time when a country has no ruler or leader, and they are waiting for a new one","Gap, Downtime, break","continuation, permanence",The ruler of the country has already decided on his successor to prevent any interregnum upon his death.
Magnate,"a person who is rich, powerful and successful, especially in business","baron, captain",lowly,The business magnate was reputed to have made many millions of dollars for the company.
Infamous,well-known for being bad; known for evil acts or crimes or unaccepted behaviours,notorious,"acclaimed, distinguished","Though a brilliant player of tennis, he has become infamous for his tantrums on the court and frequent arguments with the umpires."
Pulchritude,"Physical, beauty","handsomeness, attractiveness","repulsive, ugliness",The pulchritude of Helen of Troy was legendary. Her ravishing beauty sparked the Trojan war.
Stoic,enduring what happens without complaining or showing what they are feeling,"enduring, patient, tolerant, forbearing","impatient, complaining, protesting","Due to his stoic appearance, the doctors were not able to make out if he was in pain."
Ossify,"to become or make something fixed and unable to change
to become or make something hard like bone","congeal, freeze, petrify, solidify, stiffen","meit, soften","The cartilage will ossify, becoming bone.
An ossified political system."
Malediction,a magical word or phrase uttered with the intention of bringing about evil; a curse.,"Anathema, curse, imprecation, execration","benison, blessing, benediction","A malediction was pronounced against the town ever since there has been no fresh water there.
The two old women began casting aspersions and heaping maledictions upon one another."
Fallow,"not used for growing crops, especially so that the quality of the land will improve
when nothing is created or produced; not successful","dormant, inactive, uncultivated","cultivated, developed","Contemporary dance is coming onto the arts scene again after a long fallow period.
The fields lay fallow."
Sacrosanct,"Too important and respected to be changed, criticize, etc.","inviolable, unassailable, sacred",profane,"Though the methodologies and techniques of offering prayer have evolved over time, the principles governing the religion are sacrosanct."
savant,a person of lerning,"intellectual, pundit, sage, scholar","ignoramus, fool",Jack was considered a savant in the fields of Egyptology.
Supplant,to take the place of someone or something (especially someone or something older or less modern),"substitute, replace","sustain, establish",Every time a new game console is released many people feel they need to supplant their old one.
Polemic,"a speech or piece of writing that argues very strongly for or against something or someone
the practice or skill of arguing strongly for or against something or someone","argument, dispute, debate, attack, controversy",uncontroversial,Her speech was memorable for its polemic rather than its substance.
Adjuration,"a solemn oath
an earnest urging or advising","application, solicitation, requisition","dictum, command, edict","During trial in courts, witnesses have to give statements under adjuration.
In the corporate world we have seen many instances where ex-CEOs agree return to the helm of their companies upon adjuration from the shareholders."
Preempt ,"take action to prevent (an anticipated event) happening
acquire or appropriate (something) in advance","forestall, acquire, prevent","react, counter","It can be said that the authorities did little to preempt the floods. Neither were the storm water drains fixed, nor were the rampant encroachments over lakes stopped."
Sedition,"The crime of saying, writing, or doing something that encourages people to disobey their government
Incitement of resistance against lawful authority","insurrection, revolt, lawlessness, insubordination, rebellion","submission, loyalty","Though Mark was considered a revolutionary among his peers, he was charged with sedition.
The leaders of the group have been arrested and charged with sedition."
Prescient,knowing or appearing to know about things before they happen,foresight,"hindsight, improvidence",He predicted their response with amazing prescience.
ignoble,something that is not good or honest; that should make one feel ashamed,"shameful, dishonorable, base","noble, honorable","Initially, they sanctioned his request because it sounded quite harmless, but when they found out about his ignoble purposes and the dishonorable plans he had in mind, they took away even the little privileges that he had enjoyed until then."
rejoinder,"a reply, especially quick, critical or amusing one","riposte, retort, response","inquiry, query","Don’t you worry, she has a reputation for witty responses. Every time they say something to her, she will have a ready rejoinder, you’ll see."
Puerile,silly; suitable for a child rather than adult,"childish, infantile, juvenile, trivial","mature, adult",Since when did you begin acting on his puerile ideas? You know he is always full of these childish and silly plans.
Posthumous,"happening, done, published, etc. after a person has died",postmortem,antemortem,The director died before he was able to deliver his dream movie so it was given posthumously by his son.
Penumbra,"a partly lighted area which is between fully dark and fully light
a vague borderline area
something that shrouds or obscures","shadiness, umbragew","lightness, brightness",A penumbra of despair shrouded Tim when he heard that he was losing his job.
Inure,"get accustomed to something, especially something that is undesirable","strengthen, indurate, harden, toughen, fortify",soften,"People in war-torn nation get inured to violence over due course, yet as humans they naturally yearn for better lives.
With time, people with high exposure to public life get inured to constant criticism and commenting.
The public was so inured to the unclean environments at Indian railway stations. The cleanliness drive taken by the organization has won praises even though there is a lot to be done."
Pristine,"Fresh and clean, as if new
Not developed or changed in any way; left in its original condition","pure, unspoilt, immaculate, fresh","stale, contaminated, marred","Churches and other places of worship bring about a pristine ambience conducive to quiet contemplation.
The monument has been preserved in all its pristine glory."
Subside,"to become calmer or quieter
to go back to a normal level
to sink to a lower level; to sink lower into the ground","decrease, descend, diminish, decline, ease","rise, intensify, deteriorate",Even these minor conflicts subsided and then disappeared as the parties came to their senses.
Insinuate,"to suggest indirectly that something unpleasant is true
to succeed in gaining someone’s respect, affection, etc. so that you can use the situation to your own advantage
to slowly move yourself or a part of your body into a particular position or place","mention, intimate, apply, ingratiate, suggest, indiacate","hide, suppress, advertise, conceal","By pointing to his capability in a trivial area, the teacher insinuated he was lacking in important ones."
Lavish,"large in amount, or impressive, and usually costing a lot of money
giving or doing something generously","munificent, lush, generous, prodigal","stingy, ungenerous",The lavish food served at some wedding parties only makes us ponder over the wastage of such abundance.
Trite,"Something (a speech, opinion, comment etc.) that is dull and boring because it has been expressed so many times before and there is no originality","Stereotyped, cliche, banal, hackney","offbeat, innovative, novel, fresh",Speeches and talks delivered by President Kalam are always thought provoking. One can expect something new in each speech and are way different from the trite speeches that we are used to from contemporary politicians.
Transgression,Violation of a law or solemn understanding,"offense, violation, encroachment, trespass, misbehaviour","observance, conformity, obedience","For fear of transgressing the tenets of their faith, many accept all its torments and injustices."
Solicitous,"being very concerned for somebody and wanting to make sure that they are comfortable, well or happy","kind, attentive, considerate","indifferent, inconsiderate, unconcerned","The old woman, thinking of her long missing grandson, was extremely solicitous about his young friend, who came to stay with her as she was alone."
Impervious,"not affected or influenced by something
not allowing a liquid or gas to pass through","impenetrable, tight, impermeable","penetrate, permeable","Impervious to the insults hurled at him, the police inspector calmly handcuffed the miscrent."
Tenuous,Having little substance or significance,"slight, flimsy, thin","strong, substantial, healthy","The argument that young people cannot be relied on merely on account of their inexperience is tenuous and lacking in logic.
The ruler’s hold on the powers in the kingdom were tenuous and his enemies were looking at overthrowing him."
Ingenuous,"naive and trusting, not used to worldly ways","straightforward, guileless, trustfull","artful, sophisticated, indirect, disingenuous","From trusting everyone and everything, a child grows to becoming less ingenuous in adulthood."
Sycophant,Person who tries to please someone in order to gain a personal advantage,"lackey, bootlicker, crawler","leader, superior","Sycophants surround an affluent and successful personality to offer their flattering service.
Take my advice: You are not going to gain anything by paying so much of attention to what your sycophants say or write about you."
Empirical,based on experiments or experience rather than ideas or theories,"practical, experimental, observational","theoretical, unobserved, hypothetical, unproved",The enunciation of scientific laws has always been based on empirical truths.
Pretentious,self-consciously trying to present an appearance of grandeur or importance,"flamboyant, grandiloquent, ostentatious","modest, humble","A man of refreshing modesty, he was fearful of appearing pretentious."
